V_hel,D_mpc,lg_Re,eps_e,vsig_e,lam_e,NGC,LABEL,Filter,arcsec,mu,alpha,beta,gamma,gamma_dash,rms,r_gamma,r_gamma_pc,rotator,group
2315,30.9,1.52,0.192,0.229,0.213,NGC0474,intermediate,F606W,1.83,14.46,1.20,1.97,0.36,0.40,0.02,0.26,38.64,F,e
2403,23.3,1.64,0.034,0.344,0.325,NGC0524,core,F555W,0.37,17.00,5.00,1.47,0.24,0.24,0.02,0.28,32.12,F,e
1718,23.4,1.60,0.392,0.288,0.273,NGC0821,power-law,FW,0.48,15.69,0.40,1.71,0.10,0.51,-,0.03,3.42,F,e
1429,22.4,1.72,0.223,0.677,0.657,NGC0936,power-law,F555W,33.64,24.00,0.70,5.88,0.43,0.52,0.04,0.07,7.39,F,e
602,11.1,1.68,0.363,0.372,0.391,NGC1023,power-law,FW,1.23,15.71,7.20,1.15,0.74,0.74,-,0.04,2.15,F,e
1051,12.3,1.28,0.587,0.623,0.572,NGC2549,power-law,FW,3.70,17.57,1.80,1.71,0.67,0.67,-,0.1,5.96,F,e
1979,25.0,1.09,0.208,0.529,0.549,NGC2592,intermediate,F702W,35.43,24.00,0.36,6.62,-0.38,0.38,0.03,0.16,19.64,F,e
875,16.7,1.41,0.612,0.840,0.691,NGC2685,intermediate,F555W,27.97,24.00,0.96,7.29,0.44,0.47,0.04,0.20,16.43,F,e
1868,26.2,1.06,0.143,0.450,0.444,NGC2699,power-law,F702W,0.63,15.65,5.00,1.21,0.61,0.61,0.06,0.1,12.7,F,e
1353,21.8,1.80,0.472,0.236,0.253,NGC2768,intermediate,F555W,0.37,15.82,5.00,1.79,0.37,0.37,0.02,0.23,24.71,F,e
2025,22.3,1.20,0.224,0.574,0.572,NGC2778,power-law,FW,0.35,16.06,0.40,1.75,0.33,0.83,-,0.04,4.32,F,e
1690,27.0,1.43,0.089,0.410,0.359,NGC2859,power-law,F814W,0.11,14.00,0.20,4.14,-2.54,0.76,0.02,0.04,5.85,F,e
1554,21.3,1.32,0.282,0.627,0.581,NGC2880,power-law,F555W,9.91,21.49,1.44,4.42,0.75,0.75,0.02,0.1,10.3,F,e
1322,14.5,1.19,0.362,0.488,0.436,NGC2950,power-law,FW,2.43,16.77,2.40,1.81,0.82,0.82,-,0.1,7.02,F,e
1967,34.0,1.39,0.484,0.376,0.430,NGC2962,power-law,F814W,1.85,17.62,2.36,1.88,0.80,0.80,0.03,0.1,16.4,F,e
1887,20.9,1.58,0.407,0.813,0.663,NGC2974,power-law,FW,0.31,15.17,25.10,1.05,0.62,0.62,-,0.02,2.03,F,e
1338,21.8,1.24,0.478,0.771,0.648,NGC3156,power-law,F475W,1.07,18.10,4.29,0.86,1.78,1.78,0.08,0.1,10.5,F,e
1381,33.1,1.42,0.129,0.208,0.195,NGC3193,core,FW,0.81,16.07,0.60,1.89,0.01,0.28,-,0.14,22.87,F,e
1315,22.9,1.49,0.168,0.273,0.251,NGC3226,power-law,F814W,0.15,14.00,0.32,2.95,-1.02,0.83,0.04,0.03,3.75,F,e
1326,20.3,1.40,0.442,0.624,0.626,NGC3245,power-law,F702W,35.18,24.00,0.92,7.09,0.71,0.74,0.04,0.1,9.84,F,e
690,10.9,1.55,0.503,0.564,0.522,NGC3377,power-law,F475W,0.17,14.00,0.92,1.37,0.25,0.68,0.03,0.04,2.32,F,e
918,10.3,1.60,0.104,0.152,0.157,NGC3379,core,F475W,2.41,16.84,1.34,1.72,0.15,0.17,0.01,0.95,47.40,F,e
733,11.3,1.51,0.065,0.456,0.407,NGC3384,power-law,FW,3.15,16.44,15.30,1.81,0.71,0.71,-,0.04,2.19,F,e
860,11.0,1.49,0.441,0.375,0.406,NGC3412,power-law,F606W,3.39,18.18,1.24,2.76,0.64,0.67,0.02,0.1,5.33,F,e
1470,24.5,1.38,0.194,0.106,0.073,NGC3414,power-law,F555W,0.23,15.79,5.00,1.15,0.64,0.64,0.03,0.1,11.8,S,c
1877,30.9,1.06,0.231,0.438,0.461,NGC3458,power-law,F606W,1.73,18.06,1.40,2.40,0.56,0.59,0.02,0.1,14.9,F,e
