day	hour	value
1	8	1
104	1	1
68	2	1
8	3	1
16	3	1
90	3	1
96	3	1
42	4	1
89	5	1
3	6	2
94	7	1
7	8	2
26	8	1
27	8	1
44	8	1
81	8	1
83	8	1
9	9	1
96	10	1
96	11	1
3	12	1
4	12	1
16	12	1
96	12	1
108	12	1
96	13	1
108	13	1
110	13	1
96	14	2
40	15	1
81	16	1
34	17	1
43	17	1
100	18	1
18	19	1
42	19	1
3	20	1
4	20	1
7	20	2
11	20	1
22	20	1
29	20	1
38	20	1
53	20	1
67	20	1
94	20	1
96	20	3
108	20	1
111	20	1
7	21	1
69	22	1
18	23	1
48	23	2
9	24	1
50	24	1
58	24	1
66	24	1
96	24	1
115	24	1
18	25	2
31	25	1
49	25	1
93	25	2
111	25	2
116	25	1
16	26	1
60	26	1
7	27	1
7	28	1
31	29	2
35	29	1
66	29	2
90	29	2
100	29	1
69	30	1
56	31	1
18	32	1
51	32	1
73	32	1
86	33	1
7	34	1
81	34	1
98	35	2
7	36	1
7	37	1
33	37	1
81	37	1
111	37	1
90	38	3
94	38	1
96	38	1
103	38	1
113	38	1
55	39	1
38	40	1
75	40	1
112	41	1
34	42	1
81	42	1
4	43	3
7	43	3
9	43	1
13	43	1
14	43	1
16	43	1
17	43	2
19	43	1
20	43	1
23	43	1
24	43	1
25	43	1
28	43	1
32	43	2
37	43	1
41	43	1
42	43	1
45	43	1
56	43	2
62	43	1
63	43	1
66	43	2
68	43	1
70	43	1
72	43	1
74	43	1
77	43	1
78	43	2
81	43	2
86	43	1
88	43	1
90	43	1
96	43	1
102	43	1
106	43	1
108	43	1
111	43	1
54	44	1
7	45	1
7	46	1
90	47	1
96	48	1
81	49	1
108	49	1
94	50	1
90	51	1
12	52	1
80	53	1
7	54	1
31	54	1
46	54	2
50	54	1
79	54	1
96	54	1
101	54	1
3	55	1
5	55	1
7	55	4
15	55	2
20	55	1
24	55	1
35	55	2
42	55	1
57	55	2
61	55	1
64	55	1
65	55	1
66	55	1
69	55	1
69	55	1
81	55	2
84	55	1
85	55	1
90	55	1
92	55	1
96	55	3
106	55	1
113	55	1
114	55	1
117	55	1
31	56	1
96	56	2
31	57	2
94	57	1
10	58	1
24	58	2
66	58	1
93	58	1
30	59	1
7	60	1
96	60	1
20	61	1
52	61	1
59	61	1
96	61	1
99	61	1
15	62	1
20	62	1
35	62	1
90	62	1
91	62	2
7	63	2
36	63	1
7	64	1
94	64	1
96	64	1
113	64	1
114	64	1
115	64	1
96	65	1
71	66	1
28	67	1
31	67	1
96	67	1
7	68	1
7	69	1
7	70	1
21	71	1
7	72	1
96	72	1
94	73	1
96	74	1
87	75	1
47	76	2
35	77	1
107	77	1
108	77	1
31	78	1
35	78	1
6	79	1
108	80	1
2	81	1
39	81	1
54	81	1
81	81	1
82	81	1
97	81	1
115	81	1
7	82	1
7	83	1
20	83	1
81	83	1
96	83	1
96	84	1
18	85	1
7	86	1
81	86	1
109	86	1
9	87	1
57	87	1
8	88	1
95	89	1
105	90	2
22	91	1
112	91	1
7	92	3
31	92	1
66	92	1
76	92	1
100	92	1
